OBJECTID,TYPE,LOCATION,STATUS,ST_ID,MATERIAL,MAP_MILES,WIDTH_FT,ST_TYPE,ST_TONAGE,TRAIL_NAME,OWNER,ADA,GWSTATUS,TRAILHEAD_,GlobalID,SHAPE_Leng
"1016",Trail,Lake Johnson Segment,Existing,NA,Asphalt,0.017972570000000,8.000000000000000,NA,0.000000000000000,Walnut Creek Trail,COR,NO,OPEN,"194",{EB885325-DB0D-4657-8E0D-B4CF4D7C1B94},0.000299118156094
"1017",Trail,Lake Johnson Segment,Existing,NA,Asphalt,0.007150420000000,8.000000000000000,NA,0.000000000000000,Walnut Creek Trail,COR,NO,OPEN,"194",{AF546640-595C-4D2D-BBEA-5E12ED3B3CC4},0.000103807060845
"1018",Trail,Lake Johnson Segment,Existing,NA,Asphalt,0.090312400000000,8.000000000000000,NA,0.000000000000000,Walnut Creek Trail,COR,NO,OPEN,"194",{08CDE299-185B-4352-9E3C-83AA400D4C6B},0.001357245965706
"1019",Structure,Lake Johnson Segment -  # 74,Existing,"74",Concrete,0.004945200000000,9.000000000000000,Bridge,,Walnut Creek Trail,COR,NO,OPEN,"191",{5C70D415-EFA7-424B-A2D0-A12DAAAFDC24},0.000085417138742
"1020",Trail,Lake Johnson Segment,Existing,NA,Natural,0.450362620000000,4.000000000000000,NA,0.000000000000000,Walnut Creek Trail,COR,NO,OPEN,"190",{CAD8BC94-CDBF-47B4-8BAD-2391189C8525},0.006688839375250
"1021",Trail,Lake Johnson Segment,Existing,NA,Natural,0.616709070000000,8.000000000000000,NA,0.000000000000000,Walnut Creek Trail,COR,NO,OPEN,"192",{A2D1D7E3-0765-435C-B633-3F060BEC3ECC},0.009794425996595
"1022",Trail,Lake Johnson Segment,Existing,NA,Asphalt,0.237492930000000,10.000000000000000,NA,0.000000000000000,Walnut Creek Trail,COR,NO,OPEN,"190",{0CCB6B28-BD95-4D34-BCEE-7C4805060477},0.004008070271179
"1023",Structure,Lake Johnson Segment -  # 72,Existing,"72",Wood Decking,0.098295470000000,5.000000000000000,Bridge,5.000000000000000,Walnut Creek Trail,COR,NO,OPEN,"190",{BB2B45B3-B8B2-40A4-B9A0-48D4D80372DC},0.001649786109298
"1024",Trail,Lake Johnson Segment,Existing,NA,Natural,0.046324750000000,4.000000000000000,NA,0.000000000000000,Walnut Creek Trail,COR,NO,OPEN,"193",{6C7B09D0-6A04-4AA8-8286-FE90813919FE},0.000796884326925
"1025",Trail,Lake Johnson Segment,Existing,NA,Natural,0.528968340000000,4.000000000000000,NA,0.000000000000000,Walnut Creek Trail,COR,NO,OPEN,"193",{1F721598-6B71-4E40-AECD-65F0DE1BB802},0.008567890554438
